,Fall,MajorName,College,Total,Male,Female,AbsDif,AbsDifMale,AbsDifFemale,RelDif,RelDifMale,RelDifFemale
0,2018,Agricultural Production,ACES,6,1.0,5.0,6.0,1.0,5.0,10000.0,10000.0,10000.0
1,1980,GEN AGRIC,ACES,1,1.0,0.0,-1.0,-1.0,-0.0,-100.0,-100.0,-100.0
2,1980,GEN AGR,ACES,74,57.0,17.0,-74.0,-57.0,-17.0,-100.0,-100.0,-100.0
4,1980,Forestry,ACES,124,95.0,29.0,-124.0,-95.0,-29.0,-100.0,-100.0,-100.0
7,1980,FAM&CON EC,ACES,20,0.0,20.0,-20.0,-0.0,-20.0,-100.0,-100.0,-100.0
9,1980,Teaching of German,ACES,9,2.0,7.0,-9.0,-2.0,-7.0,-100.0,-100.0,-100.0
12,1980,VOC H E ED,ACES,36,0.0,36.0,-36.0,-0.0,-36.0,-100.0,-100.0,-100.0
13,1980,Wood Sciences,ACES,5,5.0,0.0,-5.0,-5.0,-0.0,-100.0,-100.0,-100.0
14,1980,EXT EDUC,ACES,13,5.0,8.0,-13.0,-5.0,-8.0,-100.0,-100.0,-100.0
15,1980,MKT TEXT&A,ACES,103,2.0,101.0,-103.0,-2.0,-101.0,-100.0,-100.0,-100.0
16,2018,Agric Leadership & Sci Educ,ACES,55,17.0,38.0,55.0,17.0,38.0,10000.0,10000.0,10000.0
17,2018,Agricultural & Applied Econ,ACES,86,48.0,38.0,-229.0,-229.0,0.0,-72.6984126984127,-82.67148014440433,0.0
18,2018,Agricultural & Biological Engr,ACES,84,47.0,37.0,84.0,47.0,37.0,10000.0,10000.0,10000.0
19,2018,Agricultural Communications,ACES,38,11.0,27.0,-41.0,-20.0,-21.0,-51.89873417721519,-64.51612903225806,-43.75
20,2018,Agricultural Education,ACES,32,10.0,22.0,6.0,-11.0,17.0,23.076923076923077,-52.38095238095239,340.0
22,1980,GEN H ECON,ACES,5,0.0,5.0,-5.0,-0.0,-5.0,-100.0,-100.0,-100.0
23,1980,TEXT-APPRL,ACES,9,0.0,9.0,-9.0,-0.0,-9.0,-100.0,-100.0,-100.0
25,1980,Mechanical Agriculture,ACES,49,49.0,0.0,-49.0,-49.0,-0.0,-100.0,-100.0,-100.0
27,1980,ORN HORT,ACES,122,53.0,69.0,-122.0,-53.0,-69.0,-100.0,-100.0,-100.0
28,1980,PLANT PATH,ACES,34,28.0,6.0,-34.0,-28.0,-6.0,-100.0,-100.0,-100.0
30,1980,REST MGMT,ACES,53,30.0,23.0,-53.0,-30.0,-23.0,-100.0,-100.0,-100.0
31,1980,Industrial Agriculture,ACES,70,57.0,13.0,-70.0,-57.0,-13.0,-100.0,-100.0,-100.0
32,1980,INT DSGN,ACES,140,9.0,131.0,-140.0,-9.0,-131.0,-100.0,-100.0,-100.0
33,1980,INST MGMT,ACES,8,1.0,7.0,-8.0,-1.0,-7.0,-100.0,-100.0,-100.0
35,1980,HU DEV&FAM,ACES,14,1.0,13.0,-14.0,-1.0,-13.0,-100.0,-100.0,-100.0
36,1980,HR&FS GEN,ACES,1,0.0,1.0,-1.0,-0.0,-1.0,-100.0,-100.0,-100.0
37,1980,HR&FS A&ID,ACES,6,0.0,6.0,-6.0,-0.0,-6.0,-100.0,-100.0,-100.0
39,1980,HR&FS,ACES,1,0.0,1.0,-1.0,-0.0,-1.0,-100.0,-100.0,-100.0
40,1980,HOME MGMT,ACES,2,0.0,2.0,-2.0,-0.0,-2.0,-100.0,-100.0,-100.0
41,1980,HOME ECON,ACES,171,0.0,171.0,-171.0,-0.0,-171.0,-100.0,-100.0,-100.0
42,1980,HOME EC ED,ACES,1,0.0,1.0,-1.0,-0.0,-1.0,-100.0,-100.0,-100.0
43,1980,H DVL-FAM,ACES,36,0.0,36.0,-36.0,-0.0,-36.0,-100.0,-100.0,-100.0
46,2018,Animal Sciences,ACES,626,128.0,496.0,139.0,-117.0,254.0,28.54209445585216,-47.755102040816325,104.95867768595042
47,2018,Bioinformatics,ACES,4,3.0,1.0,4.0,3.0,1.0,10000.0,10000.0,10000.0
48,2018,Agr & Consumer Economics,ACES,647,452.0,195.0,647.0,452.0,195.0,10000.0,10000.0,10000.0
49,1980,DIETETICS,ACES,32,0.0,32.0,-32.0,-0.0,-32.0,-100.0,-100.0,-100.0
50,2018,Human Dvlpmt & Family Studies,ACES,24,1.0,23.0,24.0,1.0,23.0,10000.0,10000.0,10000.0
51,2018,Natural Res & Env Sciences,ACES,118,58.0,60.0,118.0,58.0,60.0,10000.0,10000.0,10000.0
52,2018,Bioprocessing and Bioenergy,ACES,10,6.0,4.0,10.0,6.0,4.0,10000.0,10000.0,10000.0
53,2018,Nondegree,ACES,81,40.0,41.0,81.0,40.0,41.0,10000.0,10000.0,10000.0
54,2018,Nutritional Sciences,ACES,41,10.0,31.0,11.0,-1.0,12.0,36.666666666666664,-9.090909090909092,63.1578947368421
55,1980,Application Design,ACES,11,0.0,11.0,-11.0,-0.0,-11.0,-100.0,-100.0,-100.0
56,1980,CORE CURR,ACES,158,124.0,34.0,-158.0,-124.0,-34.0,-100.0,-100.0,-100.0
58,1980,Agricultural Sciences,ACES,81,57.0,24.0,-81.0,-57.0,-24.0,-100.0,-100.0,-100.0
59,1980,Agricultural Engineering,ACES,83,75.0,8.0,-83.0,-75.0,-8.0,-100.0,-100.0,-100.0
63,1980,Agr & Environmental Cmc & Educ,ACES,5,4.0,1.0,-5.0,-4.0,-1.0,-100.0,-100.0,-100.0
64,1980,Agronomy,ACES,173,133.0,40.0,-173.0,-133.0,-40.0,-100.0,-100.0,-100.0
65,2018,Human Development & Family St,ACES,253,22.0,230.0,253.0,22.0,230.0,10000.0,10000.0,10000.0
66,2018,Natural Resrcs & Environ Sci,ACES,241,98.0,143.0,241.0,98.0,143.0,10000.0,10000.0,10000.0
67,2018,Horticulture,ACES,3,1.0,2.0,-45.0,-27.0,-18.0,-93.75,-96.42857142857143,-90.0
68,1980,DAIRY SCI,ACES,51,39.0,12.0,-51.0,-39.0,-12.0,-100.0,-100.0,-100.0
69,2018,Computer Science&Crop Sciences,ACES,4,4.0,0.0,4.0,4.0,0.0,10000.0,10000.0,10000.0
70,2018,Human & Community Development,ACES,1,0.0,1.0,1.0,0.0,1.0,10000.0,10000.0,10000.0
71,2018,Crop Sciences,ACES,238,136.0,102.0,238.0,136.0,102.0,10000.0,10000.0,10000.0
72,2018,Food Science & Human Nutrition,ACES,480,130.0,350.0,271.0,48.0,223.0,129.66507177033492,58.536585365853654,175.59055118110237
73,2018,Interdisciplinary Health Sci,Applied Health Sciences,328,60.0,268.0,328.0,60.0,268.0,10000.0,10000.0,10000.0
74,1980,MOTOR P&SP,Applied Health Sciences,28,14.0,14.0,-28.0,-14.0,-14.0,-100.0,-100.0,-100.0
75,2018,Audiology,Applied Health Sciences,26,2.0,23.0,26.0,2.0,23.0,10000.0,10000.0,10000.0
76,1980,Leisure Studies,Applied Health Sciences,52,28.0,24.0,-52.0,-28.0,-24.0,-100.0,-100.0,-100.0
77,1980,OUTDR REC,Applied Health Sciences,41,17.0,24.0,-41.0,-17.0,-24.0,-100.0,-100.0,-100.0
78,1980,PROG MANAG,Applied Health Sciences,97,32.0,65.0,-97.0,-32.0,-65.0,-100.0,-100.0,-100.0
79,1980,PROG SPEC,Applied Health Sciences,8,2.0,6.0,-8.0,-2.0,-6.0,-100.0,-100.0,-100.0
81,1980,SCH HEALTH,Applied Health Sciences,18,2.0,16.0,-18.0,-2.0,-16.0,-100.0,-100.0,-100.0
82,2018,Speech & Hearing Science,Applied Health Sciences,298,14.0,284.0,140.0,1.0,139.0,88.60759493670885,7.6923076923076925,95.86206896551724
83,2018,Community Health,Applied Health Sciences,656,160.0,496.0,610.0,142.0,468.0,1326.086956521739,788.8888888888889,1671.4285714285716
84,1980,SOC SCI SP,Applied Health Sciences,13,8.0,5.0,-13.0,-8.0,-5.0,-100.0,-100.0,-100.0
85,2018,"Recreation, Sport, and Tourism ",Applied Health Sciences,359,243.0,116.0,359.0,243.0,116.0,10000.0,10000.0,10000.0
86,2018,Public Health,Applied Health Sciences,20,4.0,16.0,20.0,4.0,16.0,10000.0,10000.0,10000.0
87,1980,MOTOR DEV,Applied Health Sciences,33,3.0,30.0,-33.0,-3.0,-30.0,-100.0,-100.0,-100.0
88,2018,Kinesiology,Applied Health Sciences,634,286.0,348.0,366.0,161.0,205.0,136.56716417910448,128.8,143.35664335664336
90,1980,HLTH EDUC,Applied Health Sciences,65,12.0,53.0,-65.0,-12.0,-53.0,-100.0,-100.0,-100.0
91,1980,THER REC,Applied Health Sciences,86,6.0,80.0,-86.0,-6.0,-80.0,-100.0,-100.0,-100.0
92,1980,HEALTH&SAF,Applied Health Sciences,8,4.0,4.0,-8.0,-4.0,-4.0,-100.0,-100.0,-100.0
93,2018,Nondegree,Applied Health Sciences,38,16.0,22.0,38.0,16.0,22.0,10000.0,10000.0,10000.0
94,1980,TCH KINES,Applied Health Sciences,8,3.0,5.0,-8.0,-3.0,-5.0,-100.0,-100.0,-100.0
96,1980,Professional Pilot,Aviation,14,10.0,4.0,-14.0,-10.0,-4.0,-100.0,-100.0,-100.0
97,1980,Avionics,Aviation,8,8.0,0.0,-8.0,-8.0,-0.0,-100.0,-100.0,-100.0
98,1980,Air Systems,Aviation,172,152.0,20.0,-172.0,-152.0,-20.0,-100.0,-100.0,-100.0
99,1980,UNASSIGNED,Business,611,341.0,270.0,-611.0,-341.0,-270.0,-100.0,-100.0,-100.0
100,2018,Business Administration (MBA),Business,2017,1359.0,652.0,2017.0,1359.0,652.0,10000.0,10000.0,10000.0
101,2018,Curric Unassigned,Business,1021,575.0,445.0,1021.0,575.0,445.0,10000.0,10000.0,10000.0
102,2018,Business Administration,Business,95,41.0,52.0,-1319.0,-790.0,-531.0,-93.28147100424327,-95.0661853188929,-91.08061749571183
104,2018,Finance,Business,887,572.0,315.0,351.0,220.0,131.0,65.48507462686567,62.5,71.19565217391305
106,2018,Marketing,Business,240,74.0,166.0,240.0,74.0,166.0,10000.0,10000.0,10000.0
107,2018,Information Systems,Business,25,14.0,10.0,25.0,14.0,10.0,10000.0,10000.0,10000.0
108,2018,Management,Business,107,52.0,55.0,107.0,52.0,55.0,10000.0,10000.0,10000.0
109,2018,Information Sys & Info Tech,Business,103,57.0,46.0,103.0,57.0,46.0,10000.0,10000.0,10000.0
110,2018,Supply Chain Management,Business,85,32.0,53.0,85.0,32.0,53.0,10000.0,10000.0,10000.0
111,2018,Technology Management,Business,78,43.0,35.0,78.0,43.0,35.0,10000.0,10000.0,10000.0
112,2018,Nondegree,Business,97,50.0,47.0,97.0,50.0,47.0,10000.0,10000.0,10000.0
113,2018,Business Process Management,Business,17,12.0,5.0,17.0,12.0,5.0,10000.0,10000.0,10000.0
114,2018,Operations Management,Business,11,6.0,5.0,11.0,6.0,5.0,10000.0,10000.0,10000.0
118,1980,MARKETING,Business,54,24.0,30.0,-54.0,-24.0,-30.0,-100.0,-100.0,-100.0
121,2018,Pre-Engineering,DGS,488,394.0,94.0,488.0,394.0,94.0,10000.0,10000.0,10000.0
122,2018,Undeclared,DGS,2474,1352.0,1121.0,2474.0,1352.0,1121.0,10000.0,10000.0,10000.0
123,2018,Middle Grades Education,Education,82,20.0,62.0,82.0,20.0,62.0,10000.0,10000.0,10000.0
124,1980,BUS EDUC,Education,33,13.0,20.0,-33.0,-13.0,-20.0,-100.0,-100.0,-100.0
125,1980,TCH ENGL,Education,12,3.0,9.0,-12.0,-3.0,-9.0,-100.0,-100.0,-100.0
126,1980,TCH GEN SCIENCE,Education,2,0.0,2.0,-2.0,-0.0,-2.0,-100.0,-100.0,-100.0
127,1980,EDUC IDISC,Education,5,2.0,3.0,-5.0,-2.0,-3.0,-100.0,-100.0,-100.0
128,1980,TCH LIFE SCI,Education,9,5.0,4.0,-9.0,-5.0,-4.0,-100.0,-100.0,-100.0
129,1980,TCH PHYS SCI,Education,2,1.0,1.0,-2.0,-1.0,-1.0,-100.0,-100.0,-100.0
130,1980,TCH SOC ST,Education,32,15.0,17.0,-32.0,-15.0,-17.0,-100.0,-100.0,-100.0
131,2018,Applied Mathematics,Education,13,8.0,5.0,13.0,8.0,5.0,10000.0,10000.0,10000.0
132,2018,Anthropology,Education,152,50.0,102.0,74.0,8.0,66.0,94.87179487179486,19.047619047619047,183.33333333333331
133,1980,TECH ED SP,Education,50,33.0,17.0,-50.0,-33.0,-17.0,-100.0,-100.0,-100.0
134,2018,Educational Psychology,Education,51,14.0,37.0,-105.0,-51.0,-54.0,-67.3076923076923,-78.46153846153847,-59.34065934065934
135,1980,EDUC ELEMENTARY,Education,129,26.0,103.0,-129.0,-26.0,-103.0,-100.0,-100.0,-100.0
136,2018,Learning and Education Studies,Education,48,14.0,34.0,48.0,14.0,34.0,10000.0,10000.0,10000.0
139,1980,Educ Voc Tech,Education,120,59.0,61.0,-120.0,-59.0,-61.0,-100.0,-100.0,-100.0
140,2018,Human Resource Education,Education,19,9.0,10.0,19.0,9.0,10.0,10000.0,10000.0,10000.0
142,1980,EDUC GEN,Education,116,32.0,84.0,-116.0,-32.0,-84.0,-100.0,-100.0,-100.0
144,2018,ACES Undeclared,Education,55,26.0,29.0,55.0,26.0,29.0,10000.0,10000.0,10000.0
145,2018,Accountancy,Education,1430,656.0,774.0,-99.0,-272.0,173.0,-6.474820143884892,-29.310344827586203,28.785357737104828
146,2018,Actuarial Science,Education,398,231.0,167.0,398.0,231.0,167.0,10000.0,10000.0,10000.0
147,2018,Advertising,Education,645,207.0,438.0,405.0,130.0,275.0,168.75,168.8311688311688,168.7116564417178
148,2018,African American Studies,Education,20,6.0,14.0,20.0,6.0,14.0,10000.0,10000.0,10000.0
150,2018,Educational Policy Studies,Education,41,18.0,23.0,41.0,18.0,23.0,10000.0,10000.0,10000.0
151,2018,Elementary Education,Education,302,23.0,279.0,-126.0,-10.0,-116.0,-29.439252336448597,-30.303030303030305,-29.367088607594937
152,2018,"Educ Policy, Orgzn & Leadrshp ",Education,705,222.0,481.0,705.0,222.0,481.0,10000.0,10000.0,10000.0
153,2018,Education Curriculum Uassign,Education,22,4.0,18.0,22.0,4.0,18.0,10000.0,10000.0,10000.0
154,2018,Special Education,Education,160,19.0,140.0,55.0,1.0,53.0,52.38095238095239,5.555555555555555,60.91954022988506
155,2018,Secondary Education,Education,20,13.0,7.0,4.0,5.0,-1.0,25.0,62.5,-12.5
156,2018,Curriculum and Instruction,Education,79,17.0,62.0,79.0,17.0,62.0,10000.0,10000.0,10000.0
