,Fall,MajorName,College,Total,Male,Female
0,1999.0,Secondary Education,ACES,1.0,1.0,0.0
1,1987.0,Agronomy,ACES,168.0,130.0,38.0
2,1987.0,Agricultural Sciences,ACES,51.0,35.0,16.0
3,1999.0,Teaching of Latin,ACES,1.0,0.0,1.0
4,1987.0,Agricultural Engineering,ACES,64.0,58.0,6.0
5,1987.0,Agricultural Education,ACES,13.0,12.0,1.0
6,1987.0,Agricultural Communications,ACES,71.0,21.0,50.0
7,1987.0,Agricultural & Applied Econ,ACES,396.0,337.0,59.0
8,1987.0,Agr & Environmental Cmc & Educ,ACES,5.0,2.0,3.0
9,1999.0,Teaching of Mathematics,ACES,4.0,1.0,3.0
10,1999.0,Teaching of Physics,ACES,1.0,1.0,0.0
11,1986.0,VOC H E ED,ACES,15.0,0.0,15.0
12,1987.0,Animal Sciences,ACES,381.0,199.0,182.0
13,2000.0,Agr & Consumer Economics,ACES,316.0,212.0,104.0
14,2000.0,Agr Engineering & Agr Science,ACES,49.0,43.0,6.0
15,2000.0,Agricultural & Applied Econ,ACES,24.0,15.0,9.0
16,2000.0,Agronomy,ACES,9.0,5.0,4.0
17,2000.0,Animal Sciences,ACES,580.0,171.0,409.0
18,2000.0,CFTM-CNSMR&TXTL,ACES,110.0,12.0,98.0
19,2000.0,CFTM-MKT&PRICE,ACES,27.0,17.0,10.0
20,1986.0,Teaching of Physics,ACES,3.0,3.0,0.0
21,1986.0,Teaching of Mathematics,ACES,28.0,6.0,22.0
22,1986.0,Teaching of German,ACES,8.0,2.0,6.0
23,1986.0,Teaching of French,ACES,17.0,2.0,15.0
24,1986.0,Teaching of English Sec Lang,ACES,75.0,23.0,52.0
25,2000.0,Agr & Environmental Cmc & Educ,ACES,125.0,41.0,84.0
26,1999.0,Teaching of German,ACES,3.0,1.0,2.0
27,1987.0,Application Design,ACES,6.0,0.0,6.0
28,1999.0,Teaching of French,ACES,3.0,0.0,3.0
29,1999.0,IRCE-INDCURRIC,ACES,6.0,6.0,0.0
30,1999.0,"IRCE-POL,TRD,DV",ACES,26.0,13.0,13.0
31,1987.0,DIETETICS,ACES,65.0,2.0,63.0
32,1987.0,DAIRY SCI,ACES,32.0,23.0,9.0
33,1999.0,Mechanical Agriculture,ACES,1.0,1.0,0.0
34,1999.0,NRES - SOILS,ACES,3.0,1.0,2.0
35,1999.0,NRES-BIOL SCI,ACES,137.0,64.0,73.0
36,1999.0,NRES-SOC SCI,ACES,49.0,24.0,25.0
37,1999.0,Natural Res & Env Sciences,ACES,3.0,2.0,1.0
38,1999.0,Natural Resrcs & Environ Sci,ACES,112.0,69.0,43.0
39,1999.0,Nutritional Sciences,ACES,39.0,13.0,26.0
40,1987.0,CORE CURR,ACES,70.0,47.0,23.0
41,1987.0,CONSM ECON,ACES,40.0,12.0,28.0
42,1999.0,ORN HORT,ACES,15.0,8.0,7.0
43,1999.0,PLANT PATH,ACES,11.0,9.0,2.0
44,1999.0,Physics,ACES,285.0,261.0,24.0
45,1999.0,REST MGMT,ACES,5.0,2.0,3.0
46,1999.0,"Recreation, Sport, and Tourism ",ACES,93.0,61.0,32.0
47,1999.0,Spanish,ACES,49.0,24.0,25.0
48,1999.0,Speech & Hearing Science,ACES,202.0,4.0,198.0
49,1999.0,Statistics,ACES,20.0,8.0,12.0
50,1999.0,Teaching of Biological Science,ACES,4.0,0.0,4.0
51,1999.0,Teaching of Chemistry,ACES,2.0,1.0,1.0
52,1999.0,Teaching of Earth Science,ACES,2.0,2.0,0.0
53,1999.0,Teaching of English Sec Lang,ACES,83.0,23.0,60.0
54,1986.0,Teaching of Earth Science,ACES,1.0,1.0,0.0
55,1986.0,Teaching of Chemistry,ACES,12.0,8.0,4.0
56,1986.0,Teaching of Biological Science,ACES,2.0,0.0,2.0
57,1986.0,TEXT-APPRL,ACES,46.0,1.0,45.0
